Date,Timestamp,Open,High,Low,Close,Volume
20210207,23:00:00,1.20375,1.20438,1.20374,1.20381,136.100000023842
20210207,23:05:00,1.20382,1.20396,1.20365,1.20365,32.3778999373317
20210207,23:10:00,1.20365,1.20399,1.20365,1.20369,14.5899998825043
20210207,23:15:00,1.20396,1.20402,1.20356,1.20359,384.189998375252
20210207,23:20:00,1.20356,1.204,1.20356,1.204,82.5699997246265
20210207,23:25:00,1.20388,1.20406,1.2038,1.20401,53.0600000917912
20210207,23:30:00,1.20401,1.2042,1.20399,1.20417,562.620000332594
20210207,23:35:00,1.20421,1.20423,1.20417,1.2042,223.919998168945
20210207,23:40:00,1.2042,1.20424,1.20407,1.20408,449.540000557899
20210207,23:45:00,1.20409,1.20429,1.20403,1.20422,279.169998325408
20210207,23:50:00,1.20429,1.20434,1.20425,1.20431,342.6599868536
20210207,23:55:00,1.20428,1.20429,1.20424,1.20427,237.35999506712
20210208,00:00:00,1.20429,1.2055,1.20428,1.205,6230.64995957911
20210208,00:05:00,1.20501,1.20508,1.20457,1.20465,1649.35999879986
20210208,00:10:00,1.20466,1.20499,1.20462,1.20476,1859.69001486897
20210208,00:15:00,1.20477,1.20484,1.20467,1.20475,755.190001010895
20210208,00:20:00,1.20476,1.20495,1.20454,1.20455,342.780001103878
20210208,00:25:00,1.20454,1.20454,1.20432,1.20441,309.000002801418
20210208,00:30:00,1.20445,1.20466,1.20433,1.20452,640.190005801618
20210208,00:35:00,1.20452,1.20456,1.20444,1.20451,198.590001009405
20210208,00:40:00,1.20451,1.20479,1.20445,1.20471,195.740001000464
20210208,00:45:00,1.2047,1.20479,1.20464,1.20464,302.420001238585
20210208,00:50:00,1.20464,1.20499,1.20463,1.20498,217.709999620914
20210208,00:55:00,1.20497,1.205,1.20481,1.20483,199.530001759529
20210208,01:00:00,1.20484,1.20525,1.20483,1.20515,524.630002468824
20210208,01:05:00,1.20515,1.20525,1.20491,1.20499,471.750003241003
20210208,01:10:00,1.20498,1.20508,1.20467,1.20479,628.64000326395
20210208,01:15:00,1.2048,1.20493,1.2046,1.20463,526.220003381372
20210208,01:20:00,1.20463,1.20472,1.20443,1.20448,362.290003597736
20210208,01:25:00,1.20448,1.20455,1.20433,1.20433,240.510001167655
20210208,01:30:00,1.20432,1.20439,1.20392,1.20394,541.190004684031
20210208,01:35:00,1.20393,1.20394,1.20356,1.20369,689.490004323423
20210208,01:40:00,1.2037,1.20401,1.20369,1.20382,549.550003089011
20210208,01:45:00,1.20383,1.20387,1.20366,1.20384,482.560005098581
20210208,01:50:00,1.20385,1.20389,1.2035,1.20362,380.0500023067
